aabc_id,sc_sm_id,bill_generate_date,auto_bill_type,auto_bill_period,bill_cycle,auto_due_date,auto_grace_period,send_email,send_sms,next_billing_date,next_bill_period,flag,is_active,auto_approve,is_reminder_email,created_by,created_on,updated_by,updated_on,deleted_by,deleted_on,is_deleted,send_whatsapp,sc_sm_name
4946,11755,2025-08-02,MAINTENANCE_CHARGES,8,1,13,0,1,0,2026-01-02,1,0,1,1,0,282889,"2025-07-16 05:07:51",NULL,"2025-12-02 00:04:05",NULL,NULL,0,1,"Wehome Lakeside Co-Op Housing Society Limited"
4962,16334,2025-08-02,MAINTENANCE_CHARGES,8,1,13,0,1,0,2026-01-02,1,0,1,1,0,303285,"2025-07-17 13:32:25",303285,"2025-12-02 00:04:07",NULL,NULL,0,1,"Rukmini C building co-op housing societyÂ Limited"
4965,19698,2025-08-02,MAINTENANCE_CHARGES,8,1,19,0,1,0,2026-01-02,1,0,1,1,0,332891,"2025-07-17 13:46:20",NULL,"2025-12-02 00:04:24",NULL,NULL,0,1,"Mangalam Breeze"
4972,3978,2025-08-02,MAINTENANCE_BILL,8,1,15,0,1,0,2026-01-02,1,0,1,1,0,340920,"2025-07-18 04:54:54",NULL,"2025-12-02 00:04:34",NULL,NULL,0,1,"DHARA RESIDENCY "
4975,20245,2025-08-02,MAINTENANCE_CHARGES,8,1,14,0,1,0,2026-01-02,1,0,1,1,0,340658,"2025-07-18 05:02:06",NULL,"2025-12-02 00:04:36",NULL,NULL,0,1,"Hari Mandir"
4979,15605,2025-08-02,MAINTENANCE,8,1,9,0,1,0,2026-01-02,1,0,1,1,0,382421,"2025-07-18 06:54:05",NULL,"2025-12-02 00:04:38",NULL,NULL,0,1,"Rushabh Heights"
4980,12013,2025-08-02,MAINTENANCE_CHARGES,8,1,28,0,1,0,2026-01-02,1,0,1,1,0,237815,"2025-07-18 07:12:00",NULL,"2025-12-02 00:04:42",NULL,NULL,0,1,"Silver Stone Wing H"
5036,5840,2025-08-02,MAINTENANCE_CHARGES,8,1,8,0,1,0,2026-01-02,1,0,1,1,0,324302,"2025-07-24 10:31:09",NULL,"2025-12-02 00:04:48",NULL,NULL,0,1,"Ramkrishna Paradise"
5041,10110,2025-08-02,MAINTENANCE_CHARGES,8,1,13,0,1,0,2026-01-02,1,0,1,1,0,356454,"2025-07-25 08:05:59",356454,"2025-12-02 00:04:58",NULL,NULL,0,1,"Jagdamba homes"
5147,21951,2025-09-02,MAINTENANCE_CHARGES,9,1,9,0,1,0,2026-01-02,1,0,1,1,0,403786,"2025-08-04 08:31:35",403786,"2025-12-02 00:05:05",NULL,NULL,0,1,"Kiran SHUBHAMKAROTI"
5150,19974,2025-09-02,MAINTENANCE_CHARGES,8,1,13,0,1,0,2026-01-02,12,0,1,1,0,303005,"2025-08-04 13:57:12",303005,"2025-12-02 00:05:07",NULL,NULL,0,1,"Swagat Housing Society"
